id,genre,track_name,artist_name,valence,energy
0ttHpMs250dpFkCYAnuhnE,alt-rock,Good,Better Than Ezra,0.792,0.657
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.494
0IVT2zUgpMzyEx2TTM1HgB,alt-rock,Gold Soundz,Pavement,0.478,0.61
4iHh9ftZKEtTmqnEYuWlm6,alternative,I: Ferocious Body,Born Gold,0.309,0.554
0UrWr7Jnu1heq1o99ZwUd0,alternative,Youth of the Nation,P.O.D.,0.517,0.86
3dOAXUx7I1qnzWzxdnsyB8,alternative,Lonely Boy,The Black Keys,0.607,0.872
5dhQCqONiQji7k4RkhIcjq,alternative,I Miss You,blink-182,0.611,0.774
2eY1BRbRcK6SRb0rD90suw,alternative,With Arms Wide Open,Creed,0.145,0.525
4HRa9ZWcmZ8JD7UySPu0wT,alternative,Don't Stop (Color on the Walls),Foster The People,0.79,0.948
1VQ6FXasIrdkshSHfX6sde,alternative,Entertainment,Phoenix,0.479,0.731
69HBkY6dhDFSrXAdiyLZZG,alternative,Get Lost,The Babies,0.385,0.862
1KqlVt63Q4bl1VdSlymr5C,alternative,Riptide,Vance Joy,0.51,0.731
7K2vo9oSUzFgmtIXNYegzP,alternative,Fire,Kasabian,0.166,0.74
4m4ttqh0NUTRYU746gGqH7,ambient,From The Coast,Brian Eno,0.0308,0.211
7BGJFDXyjH3os10wVfd73U,ambient,Brother,Tycho,0.288,0.584
7aGSZ7otMHlEtdO4T89TAa,ambient,Dis,Hecq,0.044,0.192
0XiHcuUEf1wmvmX1cOaVR9,ambient,Eyesdown,Bonobo,0.183,0.455
0gch6AYwzLRfoJWci08vsp,ambient,An Ocean and Peril,The Black Atlantic,0.0839,0.127
660j84jp8ljIwLFiAFprlb,ambient,Another Green World - Remastered 2004,Brian Eno,0.458,0.00383
4OTN2EZQOM91H3oqtOAfYk,ambient,Adrift (Shigeto's Adrift a Dream Remix),Tycho,0.0666,0.728
4zcgiC2Vw4su0U6QOCGCMO,ambient,Amateur Cartography,Obfusc,0.0372,0.347
3nIxBv8UxEWjFeSxKmARAP,ambient,Antimatter (ante),AES DANA,0.0339,0.111
6bkrID9FEshkMtIhMWSxFk,ambient,Sé Lest,Sigur Rós,0.0783,0.318
0dFiAgxXMzRylcVxPgXjjU,anime,キラリ,i☆Ris,0.595,0.961
5awLRULbG5dr0XB8G9uQWK,anime,RainBow×RainBow,Prizmmy☆,0.442,0.942
70RkRC6OMOh6WUp5IPUBNK,anime,snow story,Various Artists,0.551,0.718
7gxQAOZnDDTVQXyMryLkxX,anime,傷跡 ~ piano2 mix,Kalafina,0.287,0.378
1VjfxCygjqEZ7Cy7jYawTD,anime,Wake Up! My Heart!!,Wataru Hatano,0.507,0.946
495kaFTvBMyfet8HItjJag,anime,決意の朝に,Aqua Timez,0.411,0.566
4PykuFIJt1YlG1mvyYr0kY,anime,悲しみよこんにちは,Yuki Saito,0.715,0.814
4EGzcb7WcNjUW5yedLDfTK,anime,INNOCENCE,Eir Aoi,0.491,0.933
4Vby7RWFEZFlZHd4Ah2ylb,anime,裏切りの夕焼け,THEATRE BROOK,0.589,0.918
02YwWNpxv4coWsZjRBTSG9,anime,素顔でKISS ME,"Wake Up, Girls!",0.507,0.925
4LlDBiEhJqQYjsvoOKQIqR,black-metal,Hymn to Qayin,Watain,0.18,0.877
6HK5nD9HgDhCtl2C7WS5H1,black-metal,Einfuhlungsvermogen,Burzum,0.0537,0.0224
1NfQVTssa2U4khGPewpGUx,black-metal,Atternatt,Taake,0.0857,0.908
41M4Y2BwPOxBoE6RV9IRF3,black-metal,The Claws of Time,Darkthrone,0.054,0.867
4hMx0vKP14GYJhYJz8IhTa,black-metal,To Redirect Perdition,Marduk,0.149,0.957
5AI0AYV4nevZHQQPqwWQHK,black-metal,Taakeslottet,Satyricon,0.225,0.835
4x9DzTTO2ZQCnHYMp4xiXV,black-metal,Starless Aeon,Dissection,0.477,0.935
7h7kkv1WbYXkdfWfanpxhW,black-metal,Over Bleknede Blaner Til Dommedag,Dimmu Borgir,0.206,0.874
1sQaSAqIhnTBpMLsyZjjOH,black-metal,The Tongue Of Fire,Emperor,0.0441,0.966
1E1BrfF3F2s0Kf5FcrM5Fq,black-metal,Infernal Eternal,Marduk,0.0377,0.988
7tsjrIyaCkYCEKdIBgrO7p,bluegrass,Country Gal,Old Crow Medicine Show,0.897,0.564
2v4tkhvslRscLstjHw2ShC,bluegrass,Tin Roof,Steve Martin,0.695,0.575
0fq10OuQaUWHJhJec2Wb2O,bluegrass,Kentucky Mandolin,Yonder Mountain String Band,0.707,0.557
1x2zQ4k5dK0oLI2cPnxuq3,bluegrass,Brakeman's Blues,Bill Monroe & His Blue Grass Boys,0.729,0.365
2cjZm8yD9FQjfJYCA6Sqfg,bluegrass,Undone In Sorrow,Crooked Still,0.317,0.372
1Kvq2i9RduSvoL7Z4dpCZA,bluegrass,Angel Band,Various Artists,0.35,0.113
5wKtMzk24HA3dUUnUQEvLd,bluegrass,Still Climbing Mountains,Blue Highway,0.634,0.537
5axI4xvyPCsuO7OklQDfgD,bluegrass,Tennessee Stud - Vanguard Version,Doc Watson,0.655,0.25
0Ot64UW5k4ftvK4S4yqtrw,bluegrass,Big Chance,Patty Loveless,0.913,0.686
67LCAGaxKJz4vTAtEicOka,bluegrass,Why Did You Wander?,Bill Monroe & His Blue Grass Boys,0.929,0.343
4wqBlV9jC6FvTFnL53CUL0,blues,Sitting On Top Of The World,Howlin' Wolf,0.438,0.353
0BrmbJnPYcd7gnvLYqxw0r,blues,What Kind Of Woman Is This?,Buddy Guy,0.882,0.586
6rsuhv2L1C1joNh1DBhrVS,blues,Road Runner - Single Version,Bo Diddley,0.969,0.817
1XRSazlB37HWPch5mSEOlR,blues,Give Me Back My Wig,Hound Dog Taylor,0.772,0.709
74uwIzBc3pPWLin6ypQd32,blues,Help The Poor,B.B. King,0.795,0.382
7DJsL4jyXA39GDiHFQYQ0t,blues,Mess Around,Ray Charles,0.906,0.962
0dctFolLOGtoeTN2uzD3qV,blues,Bold as Love,Jimi Hendrix,0.596,0.702
2VdHRWJeGpIY0WJcQD2mYd,blues,The Weight,Aretha Franklin,0.782,0.709
7mQs0t6Q28lybFc7gXivbx,blues,Little Anna Mae - Remastered,Muddy Waters,0.546,0.199
5msXh6qmKL96YmzItu95DV,blues,Waitin' for the Bus,ZZ Top,0.859,0.368
4icebmugsUJ8aEvNtpHTzH,bossanova,Lazy River,Laurindo Almeida and The Bossa Nova All Stars,0.857,0.278
12YhHmx0qGK7iwsupo5mVc,bossanova,Brisa do Mar,Wanda Sá,0.609,0.32
7d2rviWDiAsXogXAtleHJy,bossanova,Outra Vez,Joao Gilberto & Astrud Gilberto,0.804,0.114
08mpVwPOT1MvWnGLm4W4Fc,bossanova,Meu Pai Oxalá - Live,Vinícius de Moraes,0.72,0.451
48HGxgXEqOJNCTRiah4yGC,bossanova,Desafinado,Toquinho,0.691,0.595
0Y8J9GJ1rEHidrtcNxsh8e,bossanova,Words,Bebel Gilberto,0.103,0.0886
6SZbik5rmBTlgMHxHVXquA,bossanova,Agua De Beber,Maysa,0.61,0.555
21tZV1CWmEWlhJOvnTZp7u,bossanova,Nós e o Mar - Instrumental,Various Artists,0.705,0.562
5dsoctgd4xhfKToC02xyYV,bossanova,Como 2 E 2,Gal Costa,0.476,0.0279
0GioKjHJQ7LyPmC5z7egg1,bossanova,Corcovado,Joao Gilberto & Astrud Gilberto,0.325,0.148
3IljqNcSS7RB8ggxnig688,brazil,Linha de Frente,Various Artists,0.675,0.496
0JUdM6lKJafF1ucVO3PgBK,brazil,O Segundo Sol,Cássia Eller,0.507,0.703
1j5i8qd1PkSQAGM5zyonJC,brazil,Ouro De Tolo,Raul Seixas,0.826,0.549
7ATfTQCF4OGSY91yKk42km,brazil,Um Minuto Para O Fim Do Mundo,CPM 22,0.67,0.973
7c7lIshGFNbsswNHnyTuvE,brazil,Fui Fiel,Gusttavo Lima,0.77,0.808
1Ly6VdODSs8qXcqok09EJt,brazil,Cê Que Sabe,Various Artists,0.756,0.796
2kYAcKRS0NIhMJbHjyMEkZ,brazil,Você de Mim Não Sai - Ao Vivo,Luan Santana,0.516,0.917
31svfXMDnt8sgu4SuDqL2K,brazil,Apenas Mais uma de Amor,Lulu Santos,0.303,0.357
6zQTiw3M1p58eklHhCBWyi,brazil,Coisas Que Eu Sei,Danni Carlos,0.401,0.352
2EEMetkYSqxIRMpptSqxmx,brazil,Preciso me encontrar,"Antonio Pinto, Ed Cortes",0.688,0.516
4Xi7rFOjrH43p3A3qNu3TD,breakbeat,Never Been,Dub Phizix,0.257,0.538
2wPFy7SAFnt9Nj2TipWcqb,breakbeat,Block Rockin' Beats,The Chemical Brothers,0.809,0.977
2EK2Saeozbr20qrO1JmUzv,breakbeat,Acetone,The Crystal Method,0.222,0.897
55tObCiAoUfL7XUqtnjrs2,breakbeat,One In Ten,808 State,0.422,0.837
5Boovfc9XolSKExXapeWoQ,breakbeat,Morning Sun,Plump DJs,0.234,0.703
5ys71c0npG2nE1gjUdSoPM,breakbeat,Great Trip,Various Artists,0.693,0.915
7kS4KQ82e0bDHwc5yOpPWU,breakbeat,Painkiller,Freestylers,0.459,0.883
7KY40pRBPKQSaSe0j5nKUK,breakbeat,The Boys Of Summer,Don Henley,0.859,0.776
44muZiVSznL0U8NOdPhHWK,breakbeat,Rude Boy Rock,Lionrock,0.691,0.93
1MbarPuZfaWLUWtCpLDJ7p,breakbeat,Ska Punch - Original Mix,Colombo,0.794,0.645
7m21WB6QoOusWw9zTPfDHq,british,Mouthwash,Kate Nash,0.623,0.818
433EQGQOsQjWvD5eImXkHf,british,This Is the One - Remastered,The Stone Roses,0.345,0.784
3fT9nfnv5uLyPsx6ymre7z,british,Feel,Robbie Williams,0.282,0.8
0gQpRWjX9WX8t2KeRfYVR1,british,"William, It Was Really Nothing - 2008 Remaster",The Smiths,0.513,0.943
15049rGLXHwrWtE4euUb5C,british,The Killing Moon,Echo & the Bunnymen,0.71,0.85
0scrtPmtlIVwwk9s4LXJ8n,british,Son Of A Preacher Man,Dusty Springfield,0.761,0.472
4bPkBHKLKd9WHizsvM2zV3,british,Warning Sign,Coldplay,0.0395,0.433
4B2jOTUZBnlrjLHK1ertFR,british,Brown Eyed Girl,Van Morrison,0.899,0.586
2zrIyIdqafYozfsgiMY0Ae,british,Supermassive Black Hole,Muse,0.865,0.865
1nEqYa8UgT0wHWLBGS7kF9,british,Tokyo (Vampires & Wolves),The Wombats,0.563,0.928
09PZUuqCdaZi7KEIXdmoEQ,cantopop,"相愛很難 - 電影""男人四十""歌曲",Anita Mui,0.45,0.73
4BMsm71hl8wqqSbfAdgIHV,cantopop,忘記他,Shirley Kwan,0.509,0.55
3IORIplTC5J32wnWQzoJ7G,cantopop,越夜越有機,Leon Lai,0.701,0.997
6sBZhurY94fUcnXWiYBTDx,cantopop,Dou Ku,Jordan Chan,0.317,0.478
3z0P8gCaSoL6M0nSlkoAiG,cantopop,偶遇,Samantha Lam,0.0828,0.204
1XfKwj1Wnmnx4xJsrg4Jxm,cantopop,似水流年,Leslie Cheung,0.315,0.364
74Fg0CoarCiJiVhDQ9RfI4,cantopop,狂野之城,Aaron Kwok,0.907,0.678
5ql72Q6cnQChhbgUW678OV,cantopop,你們的幸福,Kay Tse,0.578,0.49
0uwy5mgN5DIYheknqZi8Tn,cantopop,流水飄,Bowie Lam,0.297,0.381
5GCfGYBzhQ2szULHf8wJYm,cantopop,曖昧,Faye Wong,0.322,0.467
2Lj8T12mn1lkboBb6bwQsk,chicago-house,Bes' Enatainment - Original Mix,Various Artists,0.798,0.395
501oHLxlJSpwJQPLz7Ba85,chicago-house,My Piano - Original 1990 Mix,Heyl,0.598,0.857
770TdF3vXLk9zwLtj5DG2C,chicago-house,Pop Goes My Love (Extended Version),Freeez,0.858,0.298
5bh8l1991KxZHgsYoV6oEx,chicago-house,Always There - David Morales Remix,Incognito,0.135,0.603
1s8xZDPPL9eMGhJDApsCgs,chicago-house,Movin’,Brass Construction,0.94,0.735
1wdQGP0GXda07LoTfSPWSG,chicago-house,Indulge,Various Artists,0.571,0.518
01ES3DiAHM4ZRCLOE8X1l6,chicago-house,Mega Mix - Jacking Mix,Julian 'Jumpin' Perez,0.802,0.719
2k37VinOEDgGnNOvYO8pp9,chicago-house,Grinder Man Blues,Memphis Slim,0.668,0.219
4WidTrac5dILBEK3HEfWzm,chicago-house,Don't Hold,Pablo Bolivar,0.506,0.419
1q2Ycdo5y2zUNgkBFT369H,chicago-house,Forever Yours,Virgo,0.518,0.711
53Pgsvu3qSYO2aXt5J2vcL,children,Lego House,Ed Sheeran,0.565,0.637
5DORLl7rJddjxVcjJlyxeo,children,I Love You,Barney,0.115,0.0828
1nRwyxNsqCLeA17qR8Nfxx,children,Quit Playing Games (With My Heart),Backstreet Boys,0.882,0.875
3oL3XRtkP1WVbMxf7dtTdu,children,The One That Got Away,Katy Perry,0.864,0.792
3UN6cIn3VIyg0z1LCuFSum,children,Without You (feat. Usher),David Guetta,0.402,0.614
6tXjP6xgPJ7Xr1igrO6bOE,children,Don't Stop The Music,Rihanna,0.542,0.669
4bi73jCM02fMpkI11Lqmfe,children,Ai Se Eu Te Pego - Live,Michel Teló,0.834,0.937
5WTxbyWTpoqhdxEN2szOnl,children,Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,0.509,0.81
75a5fcQSduYyC93gXtgGhk,children,Like Me,Various Artists,0.715,0.874
3zrYNl1aMdFrQkcOjKVr5u,children,I Cry,Flo Rida,0.763,0.822
0BCPKOYdS2jbQ8iyB56Zns,chill,Clocks,Coldplay,0.255,0.749
5Z7ygHQo02SUrFmcgpwsKW,chill,Wild Ones (feat. Sia),Flo Rida,0.45,0.889
61S0mEfdRtJ62Fc7fPqx0U,chill,Feeling Good,Nina Simone,0.546,0.326
7BzhqmRj3iOZXqMHqiifHr,chill,Heartbeats,Various Artists,0.316,0.15
0qcr5FMsEO85NAQjrlDRKo,chill,"Let It Go - From ""Frozen""/Soundtrack Version",Various Artists,0.371,0.485
6NaBDHz9C7Uz9Z9CwLXQin,chill,Bleeding Out,Imagine Dragons,0.295,0.754
5cwN1htZyoWqZCc33f3RfE,chill,The High Road,Broken Bells,0.603,0.638
7uv632EkfwYhXoqf8rhYrg,chill,Angel,Massive Attack,0.0671,0.309
2lwwrWVKdf3LR9lbbhnr6R,chill,Float On,Modest Mouse,0.553,0.888
4XcggrvWzPGxlcpSMWqGFW,chill,Night Air,Jamie Woon,0.502,0.522
2w1UWIyMRcNqbseWaJJ5XX,classical,The Firebird Suite *: Finale,Igor Stravinsky,0.0568,0.287
0V4rUX2i5m3TaFrDDywRXS,classical,Mr. Holmes,Carter Burwell,0.0383,0.099
14ZvL9Wc06Rw6MMyZxJnIu,classical,Your Changes Have Been Submitted,Christina Vantzou,0.033,0.236
38iCfXPXqyeEHsNtlxjtSG,classical,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 13 Dances of the Swans - IV. Dance of the Cygnets (Allegro moderato)",Pyotr Ilyich Tchaikovsky,0.77,0.038
0Vjz7AGR5eDAa1CoSUBIZL,classical,Clarinet Concertino: Concertino for Clarinet and String Orchestra,Nicola LeFanu,0.039,0.00702
4ASq8Q9pF05YGHxqL0PveM,classical,"Piano Sonata, Op. 26: IV. Fuga: Allegro con spirito",Samuel Barber,0.466,0.268
0dBeZNIXFp3P5RnNQGEu2x,classical,Fantasia on Greensleeves,Leonard Bernstein,0.0962,0.0868
6HGzj1FMXVBAi2AtBCbhCQ,classical,"Serenade in E Major for Strings, Op. 22: II. Menuetto",Antonín Dvořák,0.163,0.0878
3qmBqj3EmghQ4UayTRBbL1,classical,Da pacem Domine,Arvo Pärt,0.0317,0.032
252wJ7a1gTi59YZCDYiKu0,classical,Symphony No. 8: I. Allegro moderato,Anton Bruckner,0.0361,0.0863
5NK982GwMI332zcnpeqX5t,club,Come Alive (feat. Toro y Moi),Chromeo,0.946,0.757
6UEJtAnGHnK5tVhoPHD6tU,club,Enjoy the Ride,Krewella,0.485,0.873
3ezkJgagRPZ39KCTrKcSI7,club,Ghosts 'n' Stuff (feat. Rob Swire),deadmau5,0.491,0.613
3PmtL3TjmNIQ3AejB7HCk8,club,Never Say Never,Basement Jaxx,0.65,0.789
1D6lIY6kxQJvZojiU4k8ti,club,Love Generation,Super Dragões,0.51,0.836
5GjnIpUlLGEIYk052ISOw9,club,This Is What It Feels Like,Armin van Buuren,0.145,0.833
3DDxYAT7Nuj0tfkHICWYi3,club,Crying for No Reason,Katy B,0.221,0.712
0AEB5IhgCxr4Nt8L5CrRBX,club,Vanished,Crystal Castles,0.519,0.87
6kzLbNxsJidjc80Nw3uZVg,club,minipops 67 [120.2][source field mix],Aphex Twin,0.126,0.83
0UeYCHOETPfai02uskjJ3x,club,Shooting Stars,Bag Raiders,0.425,0.72
6W4V7BiQv7hcVFQxDPVi78,comedy,Weddings,Jim Gaffigan,0.234,0.981
3QI9MKWG4APu2FyMoLerqo,comedy,King of the Night Time World,Kyle Kinane,0.24,0.944
71Na8M1MC7nOI98gd10V1F,comedy,Women,Bob Odenkirk,0.503,0.346
64dcOKc0z7PVeH1jDtCGz5,comedy,Pugs n' Nuts,Comedian Bob Marley,0.626,0.398
0ccVVZqPGcLThFL0NvfC0l,comedy,The Hierarchy Of Cookies,Gary Gulman,0.493,0.878
6tqamymSGRTstpBH0td6Rp,comedy,Getting into Shape,John Pinette,0.0649,0.847
2WCNV7XBKv5P58Y7tprWF0,comedy,A Question Of The Heart,Big Jay Oakerson,0.385,0.848
2GVbhbv8C6qASzGBrCSFX0,comedy,"Austin Powers Saying Yeah, Baby!",David Cross,0.492,0.549
6j0wDeTV0WKmmIXoLvjSs7,comedy,American Wedding,Craig Ferguson,0.148,0.828
2z9G4b9QjlwlCx2Pkwl6Lc,comedy,"I Didn't Come From a Monkey, I Came From Jesus/Evolution",Joe Rogan,0.495,0.929
2gvYqSUrl405FQRdsZUQLo,country,That's When You Know,Chris Buck Band,0.663,0.809
28Sc21lrWcZD9Ov4rRkPJq,country,Gettin' You Home,Chris Young,0.531,0.678
6VChAU4QENeLwf3OaHBJxC,country,Must Be The Whiskey,Cody Jinks,0.679,0.786
4JNdKmSZRsYDBwhIgZpa5M,country,Don't Tread on Me (feat. Earl Dibbles Jr.),Granger Smith,0.58,0.899
215FCyLSBcXeX0NASXEjyn,country,My Kinda Party,Jason Aldean,0.558,0.9
33ntke7makdcaGe5DsmcLi,country,If I'm Bein' honest,Chase Rice,0.473,0.514
12AOwWanBDN4TQbJRbErqM,country,Wasted Time,Keith Urban,0.341,0.825
6OPyY2sXQBF13QRE3qx5o8,country,4 X Life,Craig Morgan,0.44,0.909
3DeLvrawPtl8wSupXgTlSh,country,Unlove You,Jennifer Nettles,0.111,0.416
1kN5Bo5DAn9neVrli2wKBt,country,Never Gets Old,Joe Nichols,0.332,0.713
0a53p8UzpQD0uW1hFUB4oF,dance,"Music Sounds Better With You - 12"" Club Mix",Various Artists,0.378,0.615
5hT0pVGZXvGWo6PuYGbSbC,dance,Gotta Get Thru This - Radio Edit,Various Artists,0.936,0.757
3vbqb78xzvD3CJl7ZeW83c,dance,Ain't Nobody (Loves Me Better),Felix Jaehn,0.465,0.564
7wQRAgTnBowC3myTLJSSNK,dance,Voyager,Lookas,0.744,0.731
60yO9LvaBsBOa6o9djt3I2,dance,Mistakes I've Made - Radio Edit,Eelke Kleijn,0.955,0.738
5wOoNsobTbn5LnXNBURDVv,dance,Talking Body - KREAM Remix,Tove Lo,0.291,0.755
4XXdQctUlL1FOmHBbdLkIp,dance,Illmerica,Wolfgang Gartner,0.145,0.718
2VGTe5PkHOlZuayLYDjtb1,dance,Imagination,Gorgon City,0.362,0.706
4JP327sioGQhxJ72f3ivFr,dance,Afterglow - Dyro Remix,Wilkinson,0.0326,0.949
29B5iOEsl6pMnvZke3rcIT,dance,The Veldt (feat. Chris James) - Radio Edit,deadmau5,0.485,0.759
0JrKVMQ7a6ydABRWDPiAl9,dancehall,Fuck It & Cum - Raw,Various Artists,0.606,0.902
29Y6nW06b0PeNqtvC80juD,dancehall,Church Heathen,Various Artists,0.158,0.63
1Bx0zEdVjkFlV27iKaePug,dancehall,Man Down,Rihanna,0.557,0.904
6apAGSTgzF7CSSzkCUXkuH,dancehall,We Want Paper,Various Artists,0.877,0.874
3v15f2Z0j7LV416W6fifQL,dancehall,Undah Yuh Skirt feat. Mavado,Zeds Dead,0.755,0.929
0Gv6sr4tFPkYDIuUVxOx7H,dancehall,Lighters Up (feat. Mavado & Popcaan),Snoop Lion,0.61,0.805
0wMGccSxwaLDpDqowlkJT7,dancehall,Ever Blazin',Sean Paul,0.91,0.771
5Zyao8ZBImKcqQDvSdMQcp,dancehall,Shake,Konshens,0.92,0.836
2zhQYE4dNZ2hsHKWwQChxh,dancehall,She Cant Wait,DJ Mums,0.936,0.888
3ogTxE5jXMZyACvUcVmcg7,dancehall,Kush Inna Mi Brain,Various Artists,0.592,0.7
1uOkapWUZPXQRRHTAAfu6E,death-metal,Omerta,Lamb of God,0.185,0.98
2HLAW5nWSrq7amn9PwU5hk,death-metal,Ride For Vengeance,Amon Amarth,0.0395,0.994
0ppdt8zRZOHIKh4ZDB0Zp9,death-metal,Ghost of Perdition,Opeth,0.19,0.818
5vpJkOc6FejKXO5vLQqW3b,death-metal,Intro - Unleashed (Upon Mankind),Bolt Thrower,0.0752,0.815
0rQtzIqAFSr8UkG3xjYzvt,death-metal,A View From A Hole,Decapitated,0.0578,0.958
7hTpy28ZTGhrvUUHvA4Q6q,death-metal,Dreaming In Red,Dismember,0.141,0.975
6t91thNdGFuMdDCNTIj5MR,death-metal,Blood Soaked,Obituary,0.0655,0.962
12qGKZwI1pkBYDpthPCmNY,death-metal,Vacant Planets,Death,0.606,0.868
7uvZpQR8pPOXyimbbnBB8G,death-metal,Bastard of Christ,Deicide,0.275,0.993
6T6jcsxetZv7uSdikkxlXh,death-metal,Defiling the Gates of Ishtar,Nile,0.101,0.919
1Ht4NJdY8adMsW540P5vG0,deep-house,Come With Me - Radio Mix,Nora En Pure,0.308,0.758
1JUyWrDQ2ev6SWnYiRyDOV,deep-house,Ruff Stuff,Justin Martin,0.453,0.47
6lWuJS86p0q5JAKekgETcN,deep-house,Sky and Sand,Paul Kalkbrenner,0.526,0.329
0eBmWrGlvKAbqwgx1y2CEe,deep-house,Spirit - MAW Mix,Various Artists,0.827,0.368
0xtif1cPZHjjeGiyN6fmDc,deep-house,Melodica - Original Mix,Stimming,0.557,0.451
2RAi5Py1o0MMokWLhz9zNU,deep-house,Come With Me - Original Mix,Nora En Pure,0.73,0.645
0xiLXlobvHFbtnoxQJwjzp,deep-house,Burnt Sun - Radio Edit,Bryan Cox,0.321,0.563
0wneVxea7lv2PYkft6bKov,deep-house,Crystalised (Edu Imbernon Remix),The xx,0.827,0.751
39tZWuO0TDJQB7kk8c3mAm,deep-house,Loud Minority,Foster,0.603,0.726
6U3BxoCQlfJJvQ58LZVIEB,deep-house,The Ripper,Terje Saether,0.0629,0.565
6p2NLwXf4vRDp0IxnaagNF,detroit-techno,Ghosten,Kyle Hall,0.538,0.656
4wW9Xv0YkWydYIDDMRuy6X,detroit-techno,Elements Of Tone - J's A Mix,Various Artists,0.876,0.726
1BJXRMGMdb2f33g1XMUE1n,detroit-techno,Fractual (in),The Detroit Escalator Co.,0.183,0.217
2GsjyeGAVbia4vgj2dm5i5,detroit-techno,Home Entertainment,Carl Craig,0.184,0.681
7FLegodvCtrlH0KI037Jep,detroit-techno,Sharevari - Omar S Remix,The Dirtbombs,0.383,0.982
64LJBNzvwrLBbVUWLA3Ab8,detroit-techno,Underground Thang - Version 1,Various Artists,0.0678,0.551
4ONHNGWHKQal2M0QQc5p0F,detroit-techno,Ping Pong,Plastikman,0.0339,0.5
5TVvSApfXRZO2NgGzMtcAj,detroit-techno,Gari,The Detroit Escalator Co.,0.151,0.0066
0l4Wub995LrkfPoQX0dJnD,detroit-techno,Hi Tech Jazz - Live Version,Underground Resistance,0.601,0.653
7hOTSHNKbyMoRcwUcZGbCn,detroit-techno,Infinition,Various Artists,0.646,0.673
1wRHNlEjTmpaXv99BFAGnV,disco,Got To Be Real - Single Version,Various Artists,0.861,0.697
6mwZS6fLcQP1wKv3HN3OcY,disco,Maneater,Various Artists,0.827,0.697
1gihuPhrLraKYrJMAEONyc,disco,Feel So Close - Radio Edit,Calvin Harris,0.919,0.924
3GfOAdcoc3X5GPiiXmpBjK,disco,Song 2,Blur,0.855,0.709
1d1BeKPNgaQ36wcxGqnfU3,disco,Sommartider,Gyllene Tider,0.697,0.707
